timestamp,x,y,z
30:22.7,-52,-1200,60
30:22.8,-36,-1248,68
30:22.9,-16,-1148,88
30:23.0,-128,-1112,396
30:23.1,-156,-1128,92
30:23.2,16,-980,-276
30:23.3,124,-752,-764
30:23.4,272,-584,-528
30:23.5,260,-692,-752
30:23.6,188,-848,-504
30:23.7,-36,-740,-844
30:23.8,-172,-552,-640
30:23.9,-24,-408,-1048
30:24.0,128,-80,-808
30:24.1,416,64,-580
30:24.2,572,228,-772
30:24.3,424,276,-912
30:24.4,300,396,-920
30:24.5,548,452,-1608
30:24.6,592,548,-1284
30:24.7,656,584,-768
30:24.8,608,580,-540
30:24.9,656,520,56
30:25.0,372,488,-124
30:25.1,404,696,-1232
30:25.2,296,684,-60
30:25.3,548,864,-196
30:25.4,444,912,260
30:25.5,332,880,-448
30:25.6,176,976,-336
30:25.7,248,1240,588
30:25.8,68,1064,380
30:25.9,-92,1360,296
30:26.0,-124,1204,52
30:26.1,-84,1020,260
30:26.2,-52,1168,352
30:26.3,12,972,364
30:26.4,-28,936,4
30:26.5,-12,972,316
30:26.6,28,1080,196
30:26.8,8,1036,452
30:26.9,32,1004,300
30:27.0,64,980,400
30:27.1,96,956,436
30:27.2,64,952,428
30:27.3,56,976,388
30:27.4,56,960,464
30:27.5,36,984,524
30:27.6,52,940,480
30:27.7,52,928,536
30:27.8,24,908,652
30:27.9,-12,788,732
30:28.0,12,748,728
30:28.1,32,748,716
30:28.2,44,748,716
30:28.3,48,712,720
30:28.4,52,712,704
30:28.5,44,728,720
30:28.6,68,824,692
30:28.7,40,704,812
30:28.8,24,684,776
30:28.9,108,708,712
30:29.0,56,536,880
30:29.1,80,340,852
30:29.2,-144,324,708
30:29.3,0,248,952
30:29.4,24,440,860
30:29.5,4,492,812
30:29.6,48,440,912
30:29.7,36,388,940
30:29.8,20,336,1020
30:29.9,-20,560,628
30:30.0,8,656,796
30:30.1,80,656,780
30:30.2,40,632,824
30:30.3,24,620,820
30:30.4,92,576,756
30:30.5,104,584,824
30:30.6,48,672,800
30:30.7,8,728,720
30:30.8,-68,788,500
30:30.9,-68,892,236
30:31.1,-76,968,432
30:31.2,-120,1012,340
30:31.3,-240,1008,28
30:31.4,-296,884,240
30:31.5,-208,856,772
30:31.6,-176,776,724
30:31.7,-264,812,616
30:31.8,-204,704,932
30:31.9,-228,556,1176
30:32.0,-304,520,524
30:32.1,-408,356,536
30:32.2,-456,472,524
30:32.3,-460,440,824
30:32.4,-460,308,996
30:32.5,-400,148,548
30:32.6,-368,320,600
30:32.7,-440,440,904
30:32.8,-328,356,612
30:32.9,-368,720,536
30:33.0,-384,768,732
30:33.1,-560,676,580
30:33.2,-728,580,1480
30:33.3,-1384,940,1232
30:33.4,-208,372,508
30:33.5,132,-392,-1032
30:33.6,-956,-308,-1092
30:33.7,-396,260,920
30:33.8,-424,676,1400
30:33.9,-136,372,184
30:34.0,56,504,768
30:34.1,144,580,760
30:34.2,148,604,748
30:34.3,120,600,716
30:34.4,76,676,776
30:34.5,-16,664,744
30:34.6,-96,676,768
30:34.7,-24,652,1108
30:34.8,-4,564,916
30:34.9,-4,572,804
30:35.0,-8,572,824
30:35.1,-12,532,876
30:35.2,-8,508,888
30:35.3,4,352,776
30:35.5,36,360,856
30:35.6,104,464,884
30:35.7,232,528,852
30:35.8,288,544,784
30:35.9,292,536,708
30:36.0,336,532,776
30:36.1,356,548,772
30:36.2,332,560,816
30:36.3,348,560,636
30:36.4,396,544,888
30:36.5,392,552,732
30:36.6,380,500,780
30:36.7,364,468,876
30:36.8,244,392,908
30:36.9,56,336,944
30:37.0,-100,264,872
30:37.1,-228,220,920
30:37.2,-264,256,944
30:37.3,-212,348,916
30:37.4,-304,560,728
30:37.5,-412,504,704
30:37.6,-452,416,636
30:37.7,-200,324,16
30:37.8,-152,680,1012
30:37.9,220,1360,2040
30:38.0,764,-36,-576
30:38.1,380,32,1156
30:38.2,1208,860,1188
30:38.3,168,876,1148
30:38.4,28,1084,648
30:38.5,20,692,520
30:38.6,72,720,780
30:38.7,76,564,780
30:38.8,76,596,792
30:38.9,48,640,856
30:39.0,52,624,736
30:39.1,48,632,696
30:39.2,108,428,832
30:39.3,108,648,724
30:39.4,260,316,980
30:39.5,-76,164,736
30:39.6,-180,228,1828
30:39.8,-180,68,1432
30:39.9,-44,896,208
30:40.0,736,656,980
30:40.1,164,780,400
30:40.2,-100,684,44
30:40.3,-244,468,748
30:40.4,4,712,-60
30:40.5,-1016,860,-576
30:40.6,-532,844,-1484
30:40.7,-392,1208,-544
30:40.8,148,660,-560
30:40.9,260,852,-444
30:41.0,428,1048,-208
30:41.1,536,1136,-232
30:41.2,300,1044,-400
30:41.3,328,1032,172
30:41.4,296,956,200
30:41.5,124,880,308
30:41.6,836,784,628
30:41.7,636,392,1072
30:41.8,588,188,992
30:41.9,664,-212,484
30:42.0,388,-660,852
30:42.1,344,-384,532
30:42.2,352,-180,620
30:42.3,368,-108,720
30:42.4,536,-92,1144
30:42.5,332,-220,864
30:42.6,760,-36,940
30:42.7,560,-108,1224
30:42.8,272,-336,844
30:42.9,376,-72,688
30:43.0,-16,-248,1456
30:43.1,380,80,1196
30:43.2,-224,-316,-132
30:43.3,0,-152,924
30:43.4,48,-256,1668
30:43.5,228,-204,1196
30:43.6,264,168,792
30:43.7,52,-272,1416
30:43.8,112,92,-144
30:43.9,-20,-16,1084
30:44.0,72,-68,756
30:44.2,152,84,956
30:44.3,296,-20,944
30:44.4,588,-92,56
30:44.5,812,228,824
30:44.6,772,-396,-1748
30:44.7,736,-48,4
30:44.8,720,-20,860
30:44.9,740,-164,932
30:45.0,528,0,-652
30:45.1,500,-560,1092
30:45.2,404,-964,1040
30:45.3,224,-780,1220
30:45.4,328,-260,1388
30:45.5,184,-144,1224
30:45.6,368,284,88
30:45.7,356,160,1144
30:45.8,168,-72,1208
30:45.9,-108,-132,444
30:46.0,48,72,776
30:46.1,268,8,716
30:46.2,392,16,824
30:46.3,328,-80,940
30:46.4,352,-152,1064
30:46.5,128,-168,1176
30:46.6,48,-160,952
30:46.7,4,-96,980
30:46.8,76,-80,980
30:46.9,8,-40,1028
30:47.0,64,-28,988
30:47.1,224,84,868
30:47.2,64,132,860
30:47.3,40,128,940
30:47.4,-60,120,1052
30:47.5,132,-28,1016
30:47.6,356,-84,828
30:47.7,484,-112,856
30:47.8,512,-152,908
30:47.9,528,-144,788
30:48.0,512,-152,768
30:48.1,492,-216,856
30:48.2,500,-264,840
30:48.3,488,-268,828
30:48.5,480,-268,888
30:48.6,472,-264,904
30:48.7,440,-296,1004
30:48.8,400,-308,1064
30:48.9,520,-240,800
30:49.0,472,-204,216
30:49.1,560,-36,-28
30:49.2,536,244,-428
30:49.3,556,560,-416
30:49.4,668,556,-660
30:49.5,36,512,-164
30:49.6,-64,480,-964
30:49.7,-616,548,-1132
30:49.8,-528,400,-1436
30:49.9,-648,288,-536
30:50.0,-288,228,-588
30:50.1,-248,140,-952
30:50.2,-260,308,-1472
30:50.3,-244,320,-944
30:50.4,-352,476,-700
30:50.5,-456,696,-888
30:50.6,-292,788,-1028
30:50.7,-128,796,-688
30:50.8,-116,716,-496
30:50.9,-180,724,-720
30:51.0,-120,724,-104
30:51.1,-184,624,-452
30:51.2,160,680,-1200
30:51.3,76,1048,-564
30:51.4,40,1124,2036
30:51.5,-676,980,-888
30:51.6,-124,736,-340
30:51.7,-12,840,-296
30:51.8,-8,940,-248
30:51.9,48,920,-200
30:52.0,64,1000,-280
30:52.1,28,904,-140
30:52.2,52,840,-128
30:52.3,8,880,-260
30:52.4,-8,1036,-300
30:52.5,32,1036,-308
30:52.6,24,1044,-268
30:52.7,20,1032,-244
30:52.9,16,1028,-236
30:53.0,24,1016,-216
30:53.1,-28,1004,-284
30:53.2,-36,1016,-248
30:53.3,32,960,-228
30:53.4,28,1016,-200
30:53.5,40,1080,-196
30:53.6,44,1088,-148
30:53.7,36,1076,-4
30:53.8,32,1072,-24
30:53.9,24,1056,24
30:54.0,28,1060,-40
30:54.1,20,1040,-4
30:54.2,20,996,44
30:54.3,12,1016,-24
30:54.4,12,1088,-16
30:54.5,20,1088,-136
30:54.6,4,1056,-84
30:54.7,4,1048,-92
30:54.8,4,1036,-56
30:54.9,8,1044,-116
30:55.0,12,1012,-108
30:55.1,56,1016,-12
30:55.2,16,1004,12
30:55.3,4,1008,-48
30:55.4,-48,1008,-52
30:55.5,12,1068,-108
30:55.6,24,1028,-40
30:55.7,16,1072,-36
30:55.8,-32,1096,-20
30:55.9,0,1108,16
30:56.0,8,1072,20
30:56.1,-8,1088,4
30:56.2,-16,1060,32
30:56.3,16,1052,0
30:56.4,12,1060,16
30:56.5,36,1040,124
30:56.6,44,1068,108
30:56.7,60,1052,44
30:56.8,52,1128,148
30:56.9,80,1040,164
30:57.0,28,1088,28
30:57.2,20,1028,88
30:57.3,20,1036,64
30:57.4,-8,1052,-24
30:57.5,8,1036,56
30:57.6,4,1064,20
30:57.7,32,1064,4
30:57.8,24,1040,-72
30:57.9,8,1056,-16
30:58.0,8,1080,-4
30:58.1,112,1032,8
30:58.2,20,1172,-80
30:58.3,-20,1048,-32
30:58.4,8,1064,-16
30:58.5,-4,1036,-56
30:58.6,0,968,-160
30:58.7,12,976,32
30:58.8,16,1016,-108
30:58.9,4,988,12
30:59.0,4,1040,-40
30:59.1,12,1140,-36
30:59.2,12,1012,-112
30:59.3,40,1044,-20
30:59.4,28,1068,-104
30:59.5,32,1072,80
30:59.6,16,980,-4
30:59.7,44,1044,-60
30:59.8,36,1068,-52
30:59.9,52,1028,68
31:00.0,40,1016,32
31:00.1,40,1032,-16
31:00.2,24,1060,-16
31:00.3,64,1048,80
31:00.4,68,1016,48
31:00.5,60,1052,-12
31:00.6,52,1040,-4
31:00.7,44,1044,-4
31:00.8,48,1052,16
31:00.9,56,1060,84
31:01.0,80,1052,128
31:01.1,128,1032,256
31:01.2,168,976,368
31:01.3,128,956,504
31:01.5,180,856,612
31:01.6,204,812,404
31:01.7,228,928,476
31:01.8,236,916,464
31:01.9,244,900,468
31:02.0,256,904,516
31:02.1,272,912,488
31:02.2,264,876,568
31:02.3,268,832,532
31:02.4,340,944,808
31:02.5,364,428,1172
31:02.6,116,236,636
31:02.7,108,-36,760
31:02.8,224,140,340
31:02.9,140,488,1976
31:03.0,-92,744,1460
31:03.1,128,604,376
31:03.2,188,888,380
31:03.3,116,892,336
31:03.4,-8,600,272
31:03.5,-592,524,152
31:03.6,-376,812,860
31:03.7,-284,724,-4
31:03.8,24,1244,616
31:03.9,48,972,932
31:04.0,0,892,248
